target_id	length	eff_length	est_counts	tpm
260	6135	6136	0	0
261	6135	6136	0	0
262	6135	6136	0	0
263	6135	6136	0	0
264	6135	6136	0	0
265	6135	6136	0	0
266	6135	6136	0	0
267	6135	6136	0	0
268	6135	6136	0	0
269	6135	6136	0	0
270	6135	6136	0	0
271	6135	6136	0	0
272	6135	6136	0	0
273	6135	6136	0	0
274	6135	6136	0	0
275	6135	6136	0	0
276	6135	6136	0	0
277	6135	6136	0	0
278	6135	6136	0	0
279	6135	6136	0	0
280	6135	6136	0	0
281	6135	6136	0	0
282	6135	6136	0	0
283	6135	6136	0	0
284	6135	6136	0	0
285	6135	6136	0	0
286	6135	6136	1.25291e-06	4.17776e-05
287	6135	6136	0	0
288	6135	6136	0	0
289	6135	6136	0	0
290	6135	6136	0	0
291	6135	6136	7.25445	241.896
292	6135	6136	0	0
293	6135	6136	0	0
294	6135	6136	7.50674	250.308
295	6135	6136	8.26468	275.581
296	6135	6136	0	0
297	6135	6136	2973.32	99143.8
298	6135	6136	0	0
299	6135	6136	0	0
300	6135	6136	0	0
301	6135	6136	0	0
302	6135	6136	0	0
303	6135	6136	0	0
304	6135	6136	0	0
305	6135	6136	0	0
306	6135	6136	0	0
307	6135	6136	0	0
308	6135	6136	0	0
309	6135	6136	0	0
310	6135	6136	0	0
311	6135	6136	0	0
312	6132	6133	0	0
313	6135	6136	0	0
314	6135	6136	5.2763	175.935
315	6135	6136	0	0
316	6135	6136	0	0
317	6135	6136	0	0
318	6135	6136	0	0
319	6135	6136	1.73314	57.7907
320	6135	6136	0	0
321	6132	6133	0	0
322	6135	6136	0	0
323	6132	6133	0	0
324	6132	6133	0	0
325	6135	6136	0	0
326	6135	6136	0	0
327	6135	6136	0	0
328	6135	6136	0.181958	6.06729
329	6135	6136	0	0
330	6135	6136	0	0
331	6132	6133	0	0
332	6135	6136	0	0
333	6135	6136	0	0
334	6135	6136	0	0
335	6135	6136	0	0
336	6135	6136	0	0
337	6135	6136	5.24516	174.897
338	6135	6136	0	0
339	6135	6136	0	0
340	6135	6136	0	0
341	6135	6136	6.57839	219.353
342	6135	6136	0	0
343	6135	6136	0	0
344	6135	6136	0	0
345	6135	6136	0	0
346	6135	6136	0	0
347	6135	6136	0	0
348	6135	6136	0	0
349	6135	6136	0	0
350	6135	6136	0	0
351	6135	6136	0	0
352	6135	6136	0	0
353	6135	6136	0	0
354	6135	6136	0	0
355	6132	6133	0	0
356	6138	6139	0	0
357	6135	6136	0	0
358	6135	6136	0	0
359	6135	6136	0	0
360	6135	6136	0	0
361	6135	6136	0	0
362	6135	6136	0	0
363	6135	6136	1.39181	46.4093
364	6132	6133	0	0
365	6135	6136	0	0
366	6132	6133	0	0
367	6135	6136	0	0
368	6132	6133	0	0
369	6132	6133	0	0
370	6135	6136	0	0
371	6135	6136	0.181958	6.06729
372	6132	6133	0	0
373	6132	6133	1.17861	39.3194
374	6135	6136	0	0
375	6135	6136	0	0
376	6135	6136	0	0
377	6135	6136	0	0
378	6135	6136	0	0
379	6135	6136	0	0
380	6135	6136	0	0
381	6135	6136	0	0
382	6135	6136	0	0
383	6135	6136	0	0
384	6132	6133	0	0
385	6135	6136	0	0
386	6138	6139	0	0
387	6138	6139	0	0
388	6135	6136	0	0
389	6135	6136	0	0
390	6135	6136	0	0
391	6135	6136	0	0
392	6135	6136	0	0
393	6135	6136	0	0
394	6135	6136	0	0
395	6135	6136	0	0
396	6135	6136	0	0
397	6135	6136	0	0
398	6135	6136	0	0
399	6135	6136	0	0
400	6135	6136	0	0
401	6135	6136	0	0
402	6135	6136	0	0
403	6135	6136	0	0
404	6135	6136	0	0
405	6135	6136	0	0
406	6135	6136	0	0
407	6135	6136	0	0
408	6135	6136	0	0
409	6135	6136	0	0
410	6135	6136	0	0
411	6135	6136	0	0
412	6135	6136	0	0
413	6135	6136	0	0
414	6138	6139	0	0
415	6135	6136	3.6899	123.038
416	6135	6136	0	0
417	6135	6136	0.181958	6.06729
418	6135	6136	5.49694	183.292
419	6135	6136	0	0
420	6135	6136	0	0
421	6135	6136	0	0
422	6135	6136	0	0
423	6135	6136	0	0
424	6135	6136	0	0
425	6135	6136	0	0
426	6135	6136	0	0
427	6132	6133	1.24042	41.3814
428	6132	6133	2.78943	93.0573
429	6132	6133	0	0
430	6135	6136	0	0
431	6135	6136	0	0
432	6135	6136	0	0
433	6135	6136	0	0
434	6135	6136	0	0
435	6135	6136	0	0
436	6135	6136	0.181958	6.06729
437	6135	6136	0	0
438	6135	6136	0	0
439	6135	6136	16.1952	540.019
440	6135	6136	0	0
441	6135	6136	0	0
442	6135	6136	0	0
443	6135	6136	0	0
444	6135	6136	0	0
445	6135	6136	0	0
446	6135	6136	0	0
447	6135	6136	0	0
448	6135	6136	0	0
449	6135	6136	0	0
450	6135	6136	0	0
451	6135	6136	0	0
452	6135	6136	0	0
453	6135	6136	0	0
454	6135	6136	0	0
455	6135	6136	0	0
456	6135	6136	0	0
457	6135	6136	0	0
458	6135	6136	0	0
459	6135	6136	0	0
460	6135	6136	0	0
461	6135	6136	0	0
462	6135	6136	0	0
463	6135	6136	1.62069e-06	5.40409e-05
464	6135	6136	0	0
465	6135	6136	0	0
466	6135	6136	0	0
467	6135	6136	0	0
468	6135	6136	0	0
469	6135	6136	0	0
470	6135	6136	0	0
471	6135	6136	0.251173	8.37522
472	6135	6136	0	0
473	6135	6136	0	0
474	6135	6136	0	0
475	6135	6136	0	0
476	6135	6136	0	0
477	6135	6136	0	0
478	6135	6136	0	0
479	6135	6136	0	0
480	6135	6136	0	0
481	6135	6136	0	0
482	6132	6133	0	0
483	6135	6136	0	0
484	6135	6136	0	0
485	6135	6136	0	0
486	6135	6136	0	0
487	6135	6136	0	0
488	6135	6136	0	0
489	6135	6136	0	0
490	6135	6136	0	0
491	6135	6136	0	0
492	6135	6136	0	0
493	6135	6136	0	0
494	6135	6136	0	0
495	6135	6136	0	0
496	6135	6136	0	0
497	6135	6136	0	0
498	6135	6136	0	0
499	6132	6133	0	0
500	6135	6136	0	0
501	6135	6136	0	0
502	6135	6136	0	0
503	6135	6136	0	0
504	6135	6136	0	0
505	6135	6136	0	0
506	6135	6136	0	0
507	6135	6136	0	0
508	6135	6136	0	0
509	6135	6136	0	0
510	6132	6133	0	0
511	6132	6133	0	0
512	6135	6136	0	0
513	6135	6136	0	0
514	6135	6136	0	0
515	6132	6133	0	0
516	6135	6136	0	0
517	6132	6133	0	0
518	6132	6133	0	0
519	6135	6136	0	0
520	6135	6136	0	0
521	6135	6136	0	0
522	6135	6136	0	0
523	6135	6136	0	0
524	6135	6136	0	0
525	6135	6136	0	0
526	6135	6136	0	0
527	6135	6136	0	0
528	6135	6136	0	0
529	6135	6136	0	0
530	6135	6136	0	0
531	6135	6136	0	0
532	6135	6136	0	0
533	6135	6136	0	0
534	6135	6136	0	0
535	6135	6136	0	0
536	6135	6136	0	0
537	6135	6136	0	0
538	6135	6136	0	0
539	6135	6136	6.04389	201.53
540	6135	6136	0	0
541	6135	6136	12.074	402.601
542	6135	6136	0	0
543	6135	6136	0	0
544	6135	6136	0	0
545	6135	6136	0	0
546	6135	6136	0	0
547	6135	6136	0	0
548	6135	6136	0	0
549	6135	6136	0	0
550	6135	6136	0	0
551	6138	6139	0	0
552	6135	6136	0	0
553	6135	6136	8671.73	289154
554	6135	6136	0	0
555	6135	6136	0	0
556	6135	6136	0	0
557	6135	6136	0	0
558	6135	6136	0	0
559	6135	6136	0	0
560	6135	6136	0	0
561	6135	6136	0	0
562	6135	6136	0	0
563	6135	6136	0	0
564	6135	6136	0	0
565	6135	6136	0	0
566	6135	6136	0	0
567	6135	6136	4.9462	164.928
568	6135	6136	0	0
569	6135	6136	0	0
570	6135	6136	0	0
571	6135	6136	0	0
572	6135	6136	0	0
573	6132	6133	0	0
574	6135	6136	0	0
575	6135	6136	0.637314	21.2509
576	6135	6136	0	0
577	6135	6136	0	0
578	6135	6136	0	0
579	6135	6136	0	0
580	6135	6136	0	0
581	6135	6136	0	0
582	6135	6136	0	0
583	6135	6136	0	0
584	6135	6136	0	0
585	6135	6136	0	0
586	6135	6136	0	0
587	6135	6136	0	0
588	6135	6136	0	0
589	6135	6136	0	0
590	6135	6136	0	0
591	6135	6136	0	0
592	6135	6136	0	0
593	6135	6136	0	0
594	6135	6136	0.000159954	0.00533357
595	6135	6136	0	0
596	6135	6136	0	0
597	6135	6136	0	0
598	6135	6136	0	0
599	6135	6136	0	0
600	6132	6133	0	0
601	6132	6133	0	0
602	6132	6133	0	0
